type,year2,1,2,3,4,5,6,7,8,9,10,11,12,pop
overall,2016-2019, 8.267, 7.505, 7.990, 8.260, 9.136,10.159,10.597, 9.955, 9.328, 8.869, 8.246, 8.261,18.61
overall,2020, 9.049, 7.935, 8.697, 8.894,11.993,16.042,12.583,11.076,10.207,10.319, 9.365, 9.682,19.46
overall,2021,11.197,10.244,11.849,11.980,12.761,13.523,,,,,,,19.68
TRUE,2016-2019, 5.670, 5.149, 5.513, 5.676, 6.300, 7.002, 7.337, 6.870, 6.389, 6.049, 5.620, 5.676,13.17
TRUE,2020, 6.212, 5.421, 5.926, 6.127, 8.841,12.169, 8.920, 7.729, 7.002, 7.040, 6.320, 6.504,13.85
TRUE,2021, 7.567, 6.885, 8.019, 8.293, 8.719, 9.300,,,,,,,14.03
Male,2016-2019, 4.397, 3.992, 4.242, 4.360, 4.829, 5.310, 5.513, 5.123, 4.881, 4.643, 4.325, 4.373,9.17
Male,2020, 4.809, 4.294, 4.603, 4.701, 6.428, 8.752, 6.794, 5.845, 5.460, 5.489, 5.033, 5.251,9.60
Male,2021, 6.007, 5.590, 6.428, 6.365, 6.910, 7.327,,,,,,,9.71
Female,2016-2019, 3.868, 3.512, 3.746, 3.897, 4.305, 4.848, 5.081, 4.830, 4.444, 4.224, 3.921, 3.886, 9.44
Female,2020, 4.236, 3.640, 4.092, 4.192, 5.561, 7.290, 5.789, 5.231, 4.747, 4.830, 4.332, 4.429, 9.86
Female,2021, 5.190, 4.654, 5.417, 5.615, 5.849, 6.195,,,,,,, 9.97
<5,2016-2019, 0.158, 0.132, 0.150, 0.143, 0.146, 0.156, 0.158, 0.149, 0.143, 0.150, 0.126, 0.141,1.22
<5,2020, 0.118, 0.102, 0.113, 0.111, 0.114, 0.123, 0.109, 0.109, 0.114, 0.111, 0.084, 0.091,1.19
<5,2021, 0.107, 0.109, 0.109, 0.093, 0.112, 0.096,,,,,,,1.18
5-19,2016-2019, 0.076, 0.068, 0.065, 0.072, 0.071, 0.080, 0.083, 0.079, 0.075, 0.065, 0.066, 0.072,3.77
5-19,2020, 0.091, 0.063, 0.059, 0.055, 0.058, 0.072, 0.063, 0.060, 0.055, 0.071, 0.065, 0.066,3.81
5-19,2021, 0.066, 0.066, 0.067, 0.068, 0.056, 0.060,,,,,,,3.81
20-39,2016-2019, 0.401, 0.370, 0.371, 0.363, 0.371, 0.376, 0.383, 0.397, 0.391, 0.380, 0.382, 0.403,5.78
20-39,2020, 0.439, 0.406, 0.396, 0.378, 0.479, 0.517, 0.433, 0.399, 0.399, 0.415, 0.398, 0.427,6.12
20-39,2021, 0.451, 0.399, 0.500, 0.440, 0.535, 0.541,,,,,,,6.17
40-59,2016-2019, 1.216, 1.118, 1.181, 1.151, 1.257, 1.342, 1.362, 1.255, 1.237, 1.202, 1.161, 1.196,4.79
40-59,2020, 1.205, 1.120, 1.216, 1.231, 1.644, 2.080, 1.652, 1.420, 1.366, 1.477, 1.245, 1.291,4.99
40-59,2021, 1.527, 1.439, 1.686, 1.847, 2.015, 1.931,,,,,,,5.05
60-74,2016-2019, 2.148, 2.005, 2.171, 2.195, 2.401, 2.587, 2.691, 2.537, 2.412, 2.322, 2.162, 2.114,2.17
60-74,2020, 2.365, 2.093, 2.393, 2.325, 3.354, 4.754, 3.583, 2.983, 2.730, 2.858, 2.557, 2.614,2.39
60-74,2021, 3.059, 2.824, 3.404, 3.478, 3.518, 3.645,,,,,,,2.47
75+,2016-2019, 4.268, 3.813, 4.053, 4.336, 4.889, 5.618, 5.920, 5.539, 5.070, 4.750, 4.349, 4.335,0.88
75+,2020, 4.830, 4.151, 4.520, 4.794, 6.344, 8.496, 6.743, 6.105, 5.543, 5.387, 5.016, 5.193,0.96
75+,2021, 5.987, 5.407, 6.083, 6.054, 6.525, 7.250,,,,,,,1.00
